"account_id","amount"
"fdf57cead27855c5604cdeee2220d8cde16dccf33e585cac471329ca263f7dc3","62357363580799974524359355"
"aad.near","0"
"257683cef3536618738792d36c94e8705f07cb012b57c026e44822a8e6119df0","86273612402232014467139208"
"pikanou.near","395835885857449169552966198"
"meou30012021.near","51476202612614359042698806"
"daniel.near","4093457300927501978518074"
"425b7e6c576da25000b5c7240098c8b49e2e85b1088ea0d6c12c261e33bd6714","4339167671014934390105514"
"patchryan.near","44073151192769803120293553"
"trungdung.near","440579348725329780327555312"
"miennguyen83.near","8241356451974665655031894365"
"632be5d6e0ac3bec82f8cde5cbc29535b3d17c2728332de224d500dd3f919cb4","109124368848039058373282541"
"21de32a54eed17ecea5eda271d1c66098f68b2a981d54118ead59ab31aae9c36","107689592655050562727887692"
"stake123.near","5060351720999127103968528"
"jitender1012.near","731842396619590724851061062"
"isabelle.near","31224488844319584333341582"
"rossgates.near","402843622208386742822417878"
"alfakini.near","30321396209820187107886069"
"8f4eab8fa75bb748399707211bb0bef915df64dbcbe931e25400873aad6d9f72","1498566879865924372909160989"
"icecubes.near","152180805921036035644205861"
"prs33.near","158121433212981788267778207"
"node01.near","6988310241241589028389327432"
"bigcoin.near","3181188153561216561749956010"
"ngoquanghieu02.near","2339726525263257030694978"
"0f5109abaa7ee3047a8e3bcb75f418a0f891dee56d842387c6937a24b7e22b14","2120128254136963296159092"
"ashocok.near","408898436062624384509489255"
"hahahehe.near","116970556433790474541157023"
"ickim01.near","2725345284791777063487769"
"homer.near","0"
"34772a2202c0b403f6c434bed66ed902b2b3202e64cb4a4654abce0f0eba7162","3048810662190813989921982568"
"maily_gwen.near","3227168373033033647711975"
"jayyoo.near","2353383391331798399688304500"
"iliketendollars.near","7417770895330573826655228976"
"e98b0d9c607021e126f98d55841d7b1f85bf88262797a9e9cb4c80b26ad07d55","17311271153979067344704490"
"8888888.near","10150967805282573307611082303"
"stake888.near","5266590674280561471994040"
"jmdoyle.near","897991838406302970808684685"
"85cd928907ad86b6b16f3d2df87120783b92feebc2f774849abccba6d028ff3d","195994748967071913119491381029"
"davidlai.near","57971461521455301662463251"
"edgar.near","201429527949802848291012367"
"ee3a0e9374ddae86df12ee6261caf4f00625628cd825e4cc639efe4628079014","0"
"ampersandi.near","1100789285163702579545553899"
"sanni.near","42895206842529127818121546"
"hotbitstake.near","219068152081941860207"
"vng.near","488357385459746737543252276"
"5c85f4f7c87acda481d5501184ba78a17c84c859a9dd659f328543ad2e0687fa","0"
"sunphassakorn.near","2143892524430957100966676"
"astromartian.near","626884439759579948177239283"
"sritawan2529.near","75013116134330352661112051"
"cryptodracula.near","166025889870155977758157550"
"fa3b90d888f5c8ccc4ef7f4b306581a3859a63a12d4d81c8fcaf1df6b6301747","90333591526056678779662800"
"naoj.near","5048637167597208704672788"
"tacoturtle.near","578748040181285263595479041"
"enahs.near","502824016764765782744069112"
"sangtran.near","2080234897447919417833014"
"e822f68cd5c25be88169afd3d473a707b7a37a804f19d1676be6edceb1d27c68","51999883183317479748228136"
"daydayup.near","0"
"martinescribano.near","4337200397340607773947772212"
"yfii.near","2136712500148086840474029"
"96628ed774862c3561f97401e5474cb21649ab76e76b8a39163c73d15e1bd9a0","84005543947186604839320"
"cuong1987.near","20978442884059158474994098"
"marlintest.near","106814442147906202494"
"thomasschneider110471.near","3918913099700340703107796975"
"pampas.near","0"
"e131b39e09e3e0700692d1b3e52a29b449bdd82366290c47e21a67425434eb0f","2943278809445368582257560"
"fern.near","957779161321965739154535979"
"igaass.near","37425872320381116063745457"
"wookiewarrior.near","649103946451442312919334684"
"pinasco.near","96942341035486918513047398"
"petar.near","0"
"frozenwhale.near","400203443359252513010203638122"
"kokkieroy.near","581952665124656515984800913"
"datkt1998.near","2529858348774378221018633169"
"madxista.near","2456538620504465531296941"
"guillaume.near","18067470397273063162356608"
"khaled.near","7392026841203704750126016"
"hrzn1337.near","823290205356180242207843233"
"leeanthonyward.near","41957135575002185973106277"
"sparrow.near","319046335635220082156169988"
"maynvvn.near","507044499439139024964980957"
"kwaku.near","303895187866753280624208529"
"soahcda.near","1748796564085583844020584"
"wills.near","0"
"uen.near","2484623846658233632304689989"
"waters.near","2734745445221142099794865069"
"0x3bfc.near","8932105830266233395860102379"
"rss335.near","0"
"cyp.near","3139593076471577293429678"
"troxnex.near","46925847629556236093317700"
"mysterious.near","671703015196073474766968"
"7458a78780bec36052a9cb3d18752046f446c9d971d036cdbc4a23c1e0368ce1","2513720068660037473810530"
"sutto.near","1026409647182663983483410738"
"dfb854dc47e2378c5a69b830901ad292285a7f6ca12b8cdd3bde7ceddb2f6810","5236916809708411403771939"
"b759fb8716496d4bdd2289826ad3b203cf723fa34884594d866ed27af6dba64e","1899490511853204853824871"
"esjs.near","637155896060649576988816313"
"f3a89c3614e8ed7d6a4d082e970262b8b7e75ae10e0397a738301ee20e3d5fdb","4310313581006338997114036"
"trabato.near","20436261500426019077687666"
"blizzhard.near","2090115074720191253649709301"
"liluh85.near","200758418654383967816999429"
"fiducio.near","745141235698194893350317"
"920630b0e6da92a51f5a5d81cebe5c239fed27b4d61893e6a250df010ae592ef","779637401899257505287683"
"kraze.near","3124783821056514931072908335"
"vigoss.near","0"
"voncartier.near","12266486370657299417616119"
"gsc.near","20522956094287124369114944"
"juncuirina.near","2696079508928415085629308714"
"yoyo-974.near","57340975661537931632806599"
"gongshengliu.near","208239650525337314784996934"
"omglol.near","10070010565898483601262682"
"frits.near","3796426534503797017334666"
"michaelruiz.near","1678183648989346382306991"
"ivanya.near","41511736331257278859764196"
"d95ce4803ef708de47097731917a6145bb9d27a9209893209a3718cb34ae18e0","1047891308846536028869886"
"5a3d68d258f40e961ec7fddd2fdff64ebb98a19e9b4c6568a1ba3f56cc5930d7","351624526867273170745177674"
"gibby.near","3128997225667276334758398924"
"telstar2020.near","3577313581650026046482956215"
"franklinwaller.near","104823311407751288909059064"
"semenivanov6677.near","2015700189040836485933658204"
"3893ad14287a27f5306203114b08d81bd3c8b8b3f22d0e017ad62f917a663e09","3612056521685204820581773872"
"c07ef4b588a1c05bbb5f7e8fd023df2bb37ea36688c48e4b09f0a65f1efcd004","55479328242366054155437416"
"alialsalim.near","67913793621471541682077511"
"mburdiak.near","2657813628042000253457718"
"jiaqiguo.near","747442919076906843788103"
"2hy.near","304175312942348447413531279"
"ethd.near","4122049720482170935704560"
